Date,Year,Month,LF_domestic,LF_international,LF_total,PS_domestic,PS_international,PS_total
2002-10-31,2002,10,0.6788,0.7284999999999999,0.7001000000000001,48054917,9578435,57633352
2002-11-30,2002,11,0.6662,0.6986,0.68,44850246,9016535,53866781
2002-12-31,2002,12,0.7288,0.7342,0.7311,49684353,10038794,59723147
2003-01-31,2003,1,0.644,0.725,0.679,43032450,9726436,52758886
2003-02-28,2003,2,0.6809999999999999,0.6889,0.6843,41166780,8283372,49450152
2003-03-31,2003,3,0.7243,0.6936,0.7114,49992700,9538653,59531353
2003-04-30,2003,4,0.7212999999999999,0.6678000000000001,0.6997,47033260,8309305,55342565
2003-05-31,2003,5,0.7398,0.7242000000000001,0.7334999999999999,49152352,8801873,57954225
2003-06-30,2003,6,0.7857999999999999,0.8001,0.7918000000000001,52209516,10347900,62557416
2003-07-31,2003,7,0.8098000000000001,0.8156,0.8123,55810773,11705206,67515979
2003-08-31,2003,8,0.7874,0.8239,0.8031,53920973,11799672,65720645
2003-09-30,2003,9,0.6693000000000001,0.7517,0.7051000000000001,44213408,9454647,53668055
2003-10-31,2003,10,0.7147,0.745,0.7275,49944935,9608358,59553293
2003-11-30,2003,11,0.7045,0.7478,0.7226,47059495,9481886,56541381
2003-12-31,2003,12,0.7252,0.7724,0.7448999999999999,49757124,10512547,60269671
2004-01-31,2004,1,0.6528,0.7502,0.6940999999999999,43815481,10252443,54067924
2004-02-29,2004,2,0.6859999999999999,0.7149,0.6979000000000001,45306644,9310317,54616961
2004-03-31,2004,3,0.7513,0.7837000000000001,0.7646,54147227,10976440,65123667
2004-04-30,2004,4,0.7617,0.7742,0.7669,53253194,10802022,64055216
2004-05-31,2004,5,0.7441,0.7744,0.757,53030873,10971254,64002127
2004-06-30,2004,6,0.8072,0.8366,0.8199,56959142,12159514,69118656
2004-07-31,2004,7,0.8220000000000001,0.8348,0.8276,59614287,13502913,73117200
2004-08-31,2004,8,0.7874,0.8190999999999999,0.8012,57380873,13203566,70584439
2004-09-30,2004,9,0.7039,0.7674,0.7319,47671785,10570682,58242467
2004-10-31,2004,10,0.7423000000000001,0.7637999999999999,0.7514,54167489,10772177,64939666
2004-11-30,2004,11,0.7321,0.7404999999999999,0.7356,51782564,10174320,61956884
2004-12-31,2004,12,0.7273999999999999,0.755,0.7391,52640057,11244427,63884484
2005-01-31,2005,1,0.6977,0.7595000000000001,0.7247,47977657,11387275,59364932
2005-02-28,2005,2,0.7158,0.7223,0.7186,47074882,9945067,57019949
2005-03-31,2005,3,0.7958,0.8031,0.7989,58838975,12479643,71318618
2005-04-30,2005,4,0.7664,0.7692,0.7676000000000001,54908859,11521174,66430033
2005-05-31,2005,5,0.7752,0.7939,0.7834,57323876,12164600,69488476
2005-06-30,2005,6,0.8227,0.845,0.8325,59724061,13140061,72864122
2005-07-31,2005,7,0.8393999999999999,0.8451000000000001,0.8419,62396446,14421209,76817655
2005-08-31,2005,8,0.8034,0.8216,0.8115000000000001,59110633,13703334,72813967
2005-09-30,2005,9,0.7412000000000001,0.7766,0.7572,50600325,11325800,61926125
2005-10-31,2005,10,0.7594,0.7598999999999999,0.7595999999999999,53738093,11107586,64845679
2005-11-30,2005,11,0.7653,0.7548,0.7608,52766404,10580099,63346503
2005-12-31,2005,12,0.7581,0.7648999999999999,0.7611,52801276,11812574,64613850
2006-01-31,2006,1,0.7268000000000001,0.7603,0.7417,48886043,11724098,60610141
2006-02-28,2006,2,0.7606999999999999,0.7168000000000001,0.7413,47348142,10167275,57515417
2006-03-31,2006,3,0.8131,0.7893000000000001,0.8027,58286011,12707241,70993252
2006-04-30,2006,4,0.8134,0.7911,0.8034,55828555,12619137,68447692
2006-05-31,2006,5,0.8039000000000001,0.7895,0.7973,57145193,12610793,69755986
2006-06-30,2006,6,0.8456,0.8492000000000001,0.8473,59297121,13690835,72987956
2006-07-31,2006,7,0.8495,0.8488,0.8492000000000001,60838606,14912621,75751227
2006-08-31,2006,8,0.809,0.8173,0.8128,58303233,14171796,72475029
2006-09-30,2006,9,0.7378,0.7683,0.7523000000000001,49949551,12010922,61960473
2006-10-31,2006,10,0.775,0.7529,0.765,55088986,11517228,66606214
2006-11-30,2006,11,0.7798,0.7587,0.7705,53852209,11222687,65074896
2006-12-31,2006,12,0.7656999999999999,0.7675,0.7665000000000001,53538970,12385958,65924928
2007-01-31,2007,1,0.723,0.7556,0.7376999999999999,50022168,12072442,62094610
2007-02-28,2007,2,0.7570999999999999,0.7204,0.7406,47766421,10591580,58358001
2007-03-31,2007,3,0.8157,0.8023,0.8097,59244232,13247375,72491607
2007-04-30,2007,4,0.8138,0.7870999999999999,0.8017,57398267,12795517,70193784
2007-05-31,2007,5,0.8127,0.7897,0.8022,59285571,12972589,72258160
2007-06-30,2007,6,0.8623999999999999,0.8415,0.8527,61493934,14170877,75664811
2007-07-31,2007,7,0.8623999999999999,0.8486,0.856,63457403,15470687,78928090
2007-08-31,2007,8,0.8489,0.8295,0.8398,62660179,15131296,77791475
2007-09-30,2007,9,0.7561,0.7804000000000001,0.7676000000000001,52310402,12332434,64642836
2007-10-31,2007,10,0.7845,0.7770999999999999,0.7812,57208618,12392938,69601556
2007-11-30,2007,11,0.7766,0.7679,0.7726999999999999,55047116,12023481,67070597
2007-12-31,2007,12,0.7559999999999999,0.7705,0.7626000000000001,53291139,13123756,66414895
2008-01-31,2008,1,0.7295,0.7584000000000001,0.7429000000000001,50245100,12794514,63039614
2008-02-29,2008,2,0.7591,0.7114,0.737,50118363,11677400,61795763
2008-03-31,2008,3,0.8219,0.7996,0.8117,59213077,14221964,73435041
2008-04-30,2008,4,0.8009000000000001,0.7537,0.7785,55611053,12983854,68594907
2008-05-31,2008,5,0.8134,0.7796,0.7973,58047400,13628619,71676019
2008-06-30,2008,6,0.8423999999999999,0.8155,0.8295,59559171,14447504,74006675
2008-07-31,2008,7,0.8411,0.8301000000000001,0.8358,61401480,15488628,76890108
2008-08-31,2008,8,0.8334999999999999,0.8237000000000001,0.8288,58966473,15369492,74335965
2008-09-30,2008,9,0.7606999999999999,0.747,0.7539,47680101,11759694,59439795
2008-10-31,2008,10,0.7976000000000001,0.7568,0.778,52956023,11952515,64908538
2008-11-30,2008,11,0.7589,0.7399,0.7498999999999999,47658141,11288311,58946452
2008-12-31,2008,12,0.7917000000000001,0.7655,0.7791,50253800,12499216,62753016
2009-01-31,2009,1,0.7282,0.7352,0.7315999999999999,44825056,12075267,56900323
2009-02-28,2009,2,0.7528,0.6877,0.7221,43680328,10412676,54093004
2009-03-31,2009,3,0.8108,0.7379000000000001,0.7765000000000001,53534891,12508793,66043684
2009-04-30,2009,4,0.821,0.7645000000000001,0.7938,52247781,12629805,64877586
2009-05-31,2009,5,0.8131999999999999,0.7551000000000001,0.7853,52951246,11806548,64757794
2009-06-30,2009,6,0.8537,0.8064,0.8309000000000001,55898027,13199636,69097663
2009-07-31,2009,7,0.8709,0.8384999999999999,0.8551000000000001,59468957,14953615,74422572
2009-08-31,2009,8,0.8497,0.8456,0.8477,56568180,14844821,71413001
2009-09-30,2009,9,0.7942,0.7981,0.7961,48235025,11659775,59894800
2009-10-31,2009,10,0.8222,0.8134,0.818,52279405,11905529,64184934
2009-11-30,2009,11,0.7917000000000001,0.7762,0.7845,48584832,11093714,59678546
2009-12-31,2009,12,0.7987000000000001,0.8092,0.8037000000000001,49793527,12659154,62452681
2010-01-31,2010,1,0.7489,0.7804000000000001,0.7641,45501620,12393439,57895059
2010-02-28,2010,2,0.7735,0.7444,0.7595999999999999,42440614,10694165,53134779
2010-03-31,2010,3,0.8339,0.8048000000000001,0.8203,54424077,13279320,67703397
2010-04-30,2010,4,0.8255,0.7936,0.8106,52498074,12398700,64896774
2010-05-31,2010,5,0.8251000000000001,0.8208,0.823,53842422,13380664,67223086
2010-06-30,2010,6,0.8632,0.8608,0.8621,56689853,14406776,71096629
2010-07-31,2010,7,0.8690000000000001,0.8653,0.8672,59142493,16026852,75169345
2010-08-31,2010,8,0.852,0.8551000000000001,0.8534999999999999,57370748,15317926,72688674
2010-09-30,2010,9,0.7981,0.8288,0.8131,50304708,12599149,62903857
2010-10-31,2010,10,0.8331999999999999,0.8238,0.8286,54826050,12874707,67700757
2010-11-30,2010,11,0.8119,0.7809,0.7973,51420519,11651314,63071833
2010-12-31,2010,12,0.8085,0.8,0.8044,51076415,12917451,63993866
2011-01-31,2011,1,0.7655,0.7692,0.7673000000000001,46305000,12668763,58973763
2011-02-28,2011,2,0.7792,0.7197,0.7501000000000001,43657818,10944610,54602428
2011-03-31,2011,3,0.8270000000000001,0.7666,0.7981,55649428,13473705,69123133
2011-04-30,2011,4,0.8212999999999999,0.7886,0.8051999999999999,52858479,13537152,66395631
2011-05-31,2011,5,0.8458,0.8212,0.8337,55982234,13935132,69917366
2011-06-30,2011,6,0.8598,0.8495999999999999,0.8548,57778699,14814672,72593371
2011-07-31,2011,7,0.8714,0.8604999999999999,0.866,60310568,16623674,76934242
2011-08-31,2011,8,0.8559,0.852,0.8539,57403835,15753438,73157273
